Black Metal (Venom)	#000000	#c1c1c1	#000000,#5f8787,#f8f7f2,#79241f,#888888,#999999,#aaaaaa,#c1c1c1,#404040,#5f8787,#f8f7f2,#79241f,#888888,#999999,#aaaaaa,#c1c1c1
Blazer	#0d1926	#d9e6f2	#000000,#b87a7a,#7ab87a,#b8b87a,#7a7ab8,#b87ab8,#7ab8b8,#d9d9d9,#262626,#dbbdbd,#bddbbd,#dbdbbd,#bdbddb,#dbbddb,#bddbdb,#ffffff
Blue Berry Pie	#1c0c28	#babab9	#0a4c62,#99246e,#5cb1b3,#eab9a8,#90a5bd,#9d54a7,#7e83cc,#f0e8d6,#201637,#c87272,#0a6c7e,#7a3188,#39173d,#bc94b7,#5e6071,#0a6c7e
Blue Dolphin	#006984	#c5f2ff	#292d3e,#ff8288,#b4e88d,#f4d69f,#82aaff,#e9c1ff,#89ebff,#d0d0d0,#434758,#ff8b92,#ddffa7,#ffe585,#9cc4ff,#ddb0f6,#a3f7ff,#ffffff
Blue Matrix	#101116	#00a2ff	#101116,#ff5680,#00ff9c,#fffc58,#00b0ff,#d57bff,#76c1ff,#c7c7c7,#686868,#ff6e67,#5ffa68,#fffc67,#6871ff,#d682ec,#60fdff,#ffffff
Bluloco Dark	#282c34	#b9c0cb	#41444d,#fc2f52,#25a45c,#ff936a,#3476ff,#7a82da,#4483aa,#cdd4e0,#8f9aae,#ff6480,#3fc56b,#f9c859,#10b1fe,#ff78f8,#5fb9bc,#ffffff
Bluloco Light	#f9f9f9	#373a41	#373a41,#d52753,#23974a,#df631c,#275fe4,#823ff1,#27618d,#babbc2,#676a77,#ff6480,#3cbc66,#c5a332,#0099e1,#ce33c0,#6d93bb,#d3d3d3
Borland	#0000a4	#ffff4e	#4f4f4f,#ff6c60,#a8ff60,#ffffb6,#96cbfe,#ff73fd,#c6c5fe,#eeeeee,#7c7c7c,#ffb6b0,#ceffac,#ffffcc,#b5dcff,#ff9cfe,#dfdffe,#ffffff
Box	#141d2b	#9fef00	#000000,#cc0403,#19cb00,#cecb00,#0d73cc,#cb1ed1,#0dcdcd,#dddddd,#767676,#f2201f,#23fd00,#fffd00,#1a8fff,#fd28ff,#14ffff,#ffffff
branch	#30231b	#cdc1ac	#32251d,#b55c38,#99a667,#ca9d64,#528c8b,#ba8161,#6f9990,#cdc1ac,#544a46,#b55c38,#99a667,#ca9d64,#528c8b,#ba8161,#6f9990,#cdc1ac
Breadog	#f1ebe6	#362c24	#362c24,#b10b00,#007232,#8b4c00,#005cb4,#9b0097,#006a78,#baa99d,#514337,#de1100,#008f40,#ae6000,#0074e1,#c300bd,#008697,#eae1da
Breeze	#31363b	#eff0f1	#31363b,#ed1515,#11d116,#f67400,#1d99f3,#9b59b6,#1abc9c,#eff0f1,#7f8c8d,#c0392b,#1cdc9a,#fdbc4b,#3daee9,#8e44ad,#16a085,#fcfcfc
Bright Lights	#191919	#b3c9d7	#191919,#ff355b,#b7e876,#ffc251,#76d4ff,#ba76e7,#6cbfb5,#c2c8d7,#191919,#ff355b,#b7e876,#ffc251,#76d5ff,#ba76e7,#6cbfb5,#c2c8d7
Broadcast	#2b2b2b	#e6e1dc	#000000,#da4939,#519f50,#ffd24a,#6d9cbe,#d0d0ff,#6e9cbe,#ffffff,#323232,#ff7b6b,#83d182,#ffff7c,#9fcef0,#ffffff,#a0cef0,#ffffff
Brogrammer	#131313	#d6dbe5	#1f1f1f,#f81118,#2dc55e,#ecba0f,#2a84d2,#4e5ab7,#1081d6,#d6dbe5,#d6dbe5,#de352e,#1dd361,#f3bd09,#1081d6,#5350b9,#0f7ddb,#ffffff
Builtin Dark	#000000	#bbbbbb	#000000,#bb0000,#00bb00,#bbbb00,#0000bb,#bb00bb,#00bbbb,#bbbbbb,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
Builtin Light	#ffffff	#000000	#000000,#bb0000,#00bb00,#bbbb00,#0000bb,#bb00bb,#00bbbb,#bbbbbb,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
Builtin Pastel Dark	#000000	#bbbbbb	#4f4f4f,#ff6c60,#a8ff60,#ffffb6,#96cbfe,#ff73fd,#c6c5fe,#eeeeee,#7c7c7c,#ffb6b0,#ceffac,#ffffcc,#b5dcff,#ff9cfe,#dfdffe,#ffffff
Builtin Tango Dark	#000000	#ffffff	#000000,#cc0000,#4e9a06,#c4a000,#3465a4,#75507b,#06989a,#d3d7cf,#555753,#ef2929,#8ae234,#fce94f,#729fcf,#ad7fa8,#34e2e2,#eeeeec
Builtin Tango Light	#ffffff	#000000	#000000,#cc0000,#4e9a06,#c4a000,#3465a4,#75507b,#06989a,#d3d7cf,#555753,#ef2929,#8ae234,#fce94f,#729fcf,#ad7fa8,#34e2e2,#eeeeec
C64	#40318d	#7869c4	#090300,#883932,#55a049,#bfce72,#40318d,#8b3f96,#67b6bd,#ffffff,#000000,#883932,#55a049,#bfce72,#40318d,#8b3f96,#67b6bd,#f7f7f7
Calamity	#2f2833	#d5ced9	#2f2833,#fc644d,#a5f69c,#e9d7a5,#3b79c7,#f92672,#74d3de,#d5ced9,#7e6c88,#fc644d,#a5f69c,#e9d7a5,#3b79c7,#f92672,#74d3de,#ffffff
Carbonfox	#161616	#f2f4f8	#282828,#ee5396,#25be6a,#08bdba,#78a9ff,#be95ff,#33b1ff,#dfdfe0,#484848,#f16da6,#46c880,#2dc7c4,#8cb6ff,#c8a5ff,#52bdff,#e4e4e5
Catppuccin Frappe	#303446	#c6d0f5	#51576d,#e78284,#a6d189,#e5c890,#8caaee,#f4b8e4,#81c8be,#b5bfe2,#626880,#eda0a2,#b9dba2,#ecd7ae,#adc2f3,#f38ed8,#98d2ca,#a5adce
Catppuccin Latte	#eff1f5	#4c4f69	#bcc0cc,#d20f39,#40a02b,#df8e1d,#1e66f5,#ea76cb,#179299,#5c5f77,#acb0be,#e7103f,#46b02f,#e49931,#3878f6,#ef95d7,#19a1a8,#6c6f85
Catppuccin Macchiato	#24273a	#cad3f5	#494d64,#ed8796,#a6da95,#eed49f,#8aadf4,#f5bde6,#8bd5ca,#b8c0e0,#5b6078,#f2a7b2,#bde3b0,#f4e3c1,#adc5f7,#f493da,#a5ded6,#a5adcb
Catppuccin Mocha	#1e1e2e	#cdd6f4	#45475a,#f38ba8,#a6e3a1,#f9e2af,#89b4fa,#f5c2e7,#94e2d5,#bac2de,#585b70,#f7aec2,#c2ecbf,#fcd682,#aeccfc,#f398da,#b1eae1,#a6adc8
CGA	#000000	#aaaaaa	#000000,#aa0000,#00aa00,#aa5500,#0000aa,#aa00aa,#00aaaa,#aaaaaa,#555555,#ff5555,#55ff55,#ffff55,#5555ff,#ff55ff,#55ffff,#ffffff
